category,auc,final_loss
bottle,0.4571428571428572,186.16117238998413
cable,0.40254872563718136,5601.574320810182
capsule,0.5895492620662146,4.3212617465427945
carpet,0.25040128410914925,4.714055485195583
grid,0.4995822890559733,7.839554071426392
hazelnut,0.32607142857142857,14.487582416534424
leather,0.23845108695652176,1613815398616.1392
metal_nut,0.6725317693059629,2700.160659245082
pill,0.4080741953082379,3.507515346302706
screw,1.0,965834.1157722712
tile,0.38816738816738816,3.7230480829874675
toothbrush,0.7111111111111111,21.79060125350952
transistor,0.40041666666666664,7.339620862688337
wood,0.35964912280701755,966871843350.1753
zipper,0.4414390756302521,2.9200324853261312
